model,framework,stage,scope,precision,recall,f1,mAP50,mAP50-95,latency_ms_mean,latency_ms_median,latency_ms_p95,fps
YOLO11s,Ultralytics,epoch 11,overall,0.704186336000164,0.6812298974566106,0.691934615582807,0.7051472281659565,0.42745472492964653,5.3393236287326244,5.327402031980455,5.384512944146991,187.2896399496515
YOLO11s,Ultralytics,epoch 11,lie,0.8667363567230268,0.7821955854407251,0.822298767625429,0.8516860684685879,0.5086768543446103,5.3393236287326244,5.327402031980455,5.384512944146991,187.2896399496515
YOLO11s,Ultralytics,epoch 11,sit,0.7541105886775755,0.7897610160200068,0.7715241900858831,0.8149249999312822,0.5098316642804192,5.3393236287326244,5.327402031980455,5.384512944146991,187.2896399496515
YOLO11s,Ultralytics,epoch 11,other,0.49766334153397046,0.4681911736526073,0.48247759945846125,0.4523409714330955,0.2935719705905273,5.3393236287326244,5.327402031980455,5.384512944146991,187.2896399496515
YOLO11s,Ultralytics,epoch 11,off_bed,0.6982350570660829,0.6847718147131027,0.6914379051614548,0.7016368728308606,0.3977384105030294,5.3393236287326244,5.327402031980455,5.384512944146991,187.2896399496515
YOLO26s,Ultralytics,epoch 11,overall,0.7775800087903189,0.6803494985207622,0.7233705467550853,0.7514472340788056,0.480204870682606,5.828038231392081,5.749441450461745,6.050952977966517,171.58432396918934
YOLO26s,Ultralytics,epoch 11,lie,0.8256840918828894,0.8017996543596932,0.8135666128899322,0.8560252214486825,0.5304543330674565,5.828038231392081,5.749441450461745,6.050952977966517,171.58432396918934
YOLO26s,Ultralytics,epoch 11,sit,0.8034244064608704,0.7552015868652641,0.7785670061753853,0.8396341310939751,0.5634103297302187,5.828038231392081,5.749441450461745,6.050952977966517,171.58432396918934
YOLO26s,Ultralytics,epoch 11,other,0.6340246651081519,0.5493421052631579,0.5886534133622738,0.5623807926721072,0.3866815859982621,5.828038231392081,5.749441450461745,6.050952977966517,171.58432396918934
YOLO26s,Ultralytics,epoch 11,off_bed,0.8471868717093636,0.6150546475949333,0.7126951545927497,0.7477487911004574,0.440273233934487,5.828038231392081,5.749441450461745,6.050952977966517,171.58432396918934
