epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.3409,1.24476,3.65365,0.02544,0.54646,0.50909,0.52541,0.32658,1.10703,1.4717,0.02771,0.00991379,0.0033046,0.00991379,0.0033046,0.00991379,0.0033046,0.00991379,0.0033046
2,73.5474,1.10096,1.13604,0.02152,0.65277,0.57888,0.62759,0.40299,1.09439,1.16771,0.02752,0.0197166,0.00657222,0.0197166,0.00657222,0.0197166,0.00657222,0.0197166,0.00657222
3,101.871,1.12313,1.00908,0.02169,0.60579,0.51234,0.55882,0.3566,1.16619,1.40825,0.02941,0.0293215,0.00977383,0.0293215,0.00977383,0.0293215,0.00977383,0.0293215,0.00977383
4,129.861,1.13454,0.95584,0.0222,0.6635,0.56313,0.62466,0.39687,1.21775,1.18801,0.03123,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,157.881,1.12282,0.89511,0.02174,0.65596,0.61012,0.64242,0.40142,1.2011,1.13616,0.03049,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,185.396,1.11102,0.86594,0.02138,0.71763,0.61571,0.68377,0.44537,1.17634,1.07149,0.02933,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,213.473,1.11249,0.83621,0.0213,0.68979,0.58418,0.66203,0.42231,1.15897,1.09528,0.02944,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,241.005,1.10265,0.80723,0.02116,0.68848,0.62206,0.67749,0.4299,1.23042,1.11866,0.03172,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,268.634,1.10118,0.79111,0.02113,0.677,0.63648,0.67109,0.43098,1.21238,1.09084,0.03086,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,296.53,1.08339,0.79823,0.02081,0.72014,0.63999,0.70263,0.46852,1.13757,1.02617,0.02847,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,325.012,1.07948,0.77629,0.02061,0.69269,0.627,0.67935,0.44473,1.16124,1.02814,0.02932,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,353.793,1.08633,0.76675,0.02074,0.71434,0.6026,0.65658,0.42328,1.17539,1.15242,0.02985,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,380.692,1.07522,0.75225,0.02047,0.67588,0.65695,0.69296,0.45101,1.16126,1.03258,0.02941,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,408.325,1.06843,0.74762,0.02045,0.66994,0.62066,0.66082,0.41881,1.19863,1.05689,0.03037,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,436.166,1.07022,0.7414,0.02035,0.70805,0.63106,0.70011,0.45709,1.14734,1.04618,0.02878,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,463.905,1.06288,0.72831,0.02014,0.70353,0.66359,0.71267,0.46202,1.15016,0.9427,0.02866,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,491.662,1.05888,0.72784,0.02002,0.69652,0.61914,0.67566,0.44529,1.15821,1.06505,0.02938,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,519.326,1.05922,0.73005,0.02005,0.70818,0.62429,0.67674,0.43954,1.172,1.10843,0.02972,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,547.081,1.05714,0.71629,0.01996,0.70052,0.63634,0.69165,0.43992,1.17817,1.00511,0.02974,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,575.133,1.04942,0.71803,0.01981,0.71574,0.6625,0.71162,0.4716,1.12039,0.94829,0.02772,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,603.567,1.04508,0.6974,0.01965,0.71614,0.63497,0.69056,0.44804,1.12526,1.00021,0.0281,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,631.936,1.04259,0.69432,0.0197,0.73781,0.63297,0.70399,0.46959,1.13006,1.014,0.02779,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,659.644,1.03749,0.69962,0.01946,0.72442,0.62259,0.69573,0.45978,1.16173,1.05796,0.0291,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,687.309,1.03296,0.68949,0.01943,0.72583,0.60787,0.68,0.4533,1.15618,1.16961,0.02894,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,714.988,1.03335,0.68497,0.01947,0.74275,0.64786,0.71431,0.47162,1.14333,0.97525,0.02864,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,743.389,1.02618,0.67966,0.01932,0.73112,0.66333,0.72378,0.4779,1.13946,0.95684,0.02851,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,772.088,1.03159,0.68429,0.01935,0.72869,0.6762,0.72839,0.47547,1.14603,0.95382,0.02878,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,799.792,1.02486,0.66506,0.01921,0.70767,0.67065,0.7217,0.47193,1.14179,0.94766,0.02866,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,827.496,1.0251,0.65843,0.01927,0.71207,0.67023,0.72031,0.47351,1.14138,0.97369,0.02862,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,855.49,1.02279,0.66066,0.01922,0.73171,0.64607,0.7025,0.46216,1.14042,1.04131,0.02883,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,883.21,1.01543,0.65701,0.0191,0.69135,0.68641,0.71195,0.46809,1.13098,1.0186,0.02819,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,911.488,1.00844,0.65813,0.01898,0.71835,0.62176,0.68562,0.45822,1.16625,1.05331,0.02927,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,939.202,1.01349,0.66049,0.01894,0.71584,0.66282,0.71264,0.48216,1.10148,0.95303,0.02745,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,967.525,1.01045,0.6553,0.01886,0.72707,0.65214,0.70892,0.46661,1.13884,0.99706,0.02859,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,995.447,1.00313,0.64808,0.01879,0.73566,0.66011,0.70483,0.45786,1.17444,1.03898,0.02947,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1023.22,0.99525,0.64243,0.01865,0.69691,0.62361,0.67246,0.43431,1.18305,1.15096,0.02991,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1050.94,0.99686,0.6342,0.0187,0.69987,0.65929,0.69877,0.4621,1.14748,1.05072,0.02881,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1079.14,1.00445,0.63713,0.01879,0.72809,0.65438,0.70693,0.4717,1.12422,1.04263,0.02819,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1106.89,0.98571,0.63517,0.01834,0.72787,0.66783,0.71776,0.48071,1.11023,0.92828,0.02761,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1134.52,0.99032,0.62768,0.01838,0.72954,0.61403,0.68944,0.46166,1.12889,1.14006,0.02839,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1162.18,0.9806,0.61987,0.01823,0.74467,0.64863,0.71831,0.46934,1.16674,1.0023,0.0294,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
