epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,162.099,0.47572,6.16381,0.59267,0.44053,0.44153,0.42998,0.25077,0.34316,0.91353,0.57769,0.00991379,0.0033046,0.00991379,0.0033046,0.00991379,0.0033046,0.00991379,0.0033046
2,311.64,0.33761,0.74905,0.41818,0.71124,0.61149,0.66921,0.44605,0.30176,0.71199,0.49522,0.0197166,0.00657222,0.0197166,0.00657222,0.0197166,0.00657222,0.0197166,0.00657222
3,460.602,0.35134,0.65894,0.41409,0.7087,0.65328,0.70109,0.46989,0.29816,0.67982,0.4818,0.0293215,0.00977383,0.0293215,0.00977383,0.0293215,0.00977383,0.0293215,0.00977383
4,609.39,0.37142,0.6428,0.42566,0.71321,0.62923,0.67961,0.43749,0.33554,0.72943,0.51514,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,755.982,0.35773,0.60861,0.40683,0.72984,0.61866,0.68887,0.45087,0.3292,0.71505,0.50197,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,902.627,0.35597,0.60191,0.40199,0.70965,0.65659,0.69789,0.46614,0.31364,0.67498,0.48546,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1047.78,0.34834,0.59034,0.40029,0.72189,0.66411,0.70417,0.45514,0.32897,0.65183,0.50437,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1194.97,0.35291,0.57532,0.39535,0.70358,0.59483,0.65238,0.43392,0.31572,0.75683,0.51358,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1341.9,0.3447,0.56638,0.39009,0.73957,0.64502,0.70663,0.47294,0.30113,0.66228,0.47232,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1490.44,0.34217,0.56216,0.3883,0.74567,0.68877,0.74961,0.50565,0.29952,0.62304,0.4674,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1638.58,0.34042,0.55292,0.38385,0.73113,0.62603,0.6855,0.47378,0.29997,0.69455,0.48618,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
