epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7775,1.45144,2.16146,1.53761,0.41852,0.39139,0.36292,0.19436,1.21384,1.64939,1.319,0.000402299,0.000402299,0.000402299
2,77.0703,1.05139,0.98204,1.20308,0.53528,0.47226,0.48047,0.26495,1.14105,1.38372,1.24022,0.000810858,0.000810858,0.000810858
3,101.32,1.03951,0.88422,1.19812,0.49104,0.47075,0.44478,0.24664,1.16225,1.35688,1.30488,0.00121117,0.00121117,0.00121117
4,124.916,1.03355,0.84319,1.19948,0.51209,0.48912,0.47269,0.25425,1.18967,1.32525,1.30363,0.00121287,0.00121287,0.00121287
5,148.464,1.01941,0.81393,1.19304,0.62924,0.552,0.57753,0.32986,1.14958,1.23197,1.30052,0.0012005,0.0012005,0.0012005
6,172.839,0.99302,0.78145,1.18192,0.53564,0.52401,0.50738,0.29882,1.11605,1.40884,1.26157,0.00118812,0.00118812,0.00118812
7,196.422,0.97355,0.7505,1.17425,0.65873,0.63068,0.66063,0.39769,1.05826,0.98449,1.17868,0.00117575,0.00117575,0.00117575
8,220.8,0.96256,0.73523,1.16185,0.59384,0.5783,0.56854,0.35001,1.11111,1.32362,1.19794,0.00116337,0.00116337,0.00116337
9,244.353,0.95779,0.71634,1.15879,0.61753,0.59073,0.59941,0.363,1.03909,0.98477,1.13403,0.001151,0.001151,0.001151
10,267.984,0.94263,0.69876,1.1533,0.65481,0.63699,0.66213,0.40924,1.0283,0.93045,1.12715,0.00113863,0.00113863,0.00113863
11,292.085,0.9403,0.69176,1.14825,0.65561,0.62181,0.64277,0.39552,1.05529,0.99217,1.1331,0.00112625,0.00112625,0.00112625
12,316.212,0.93343,0.68888,1.1442,0.69901,0.60667,0.64969,0.40209,0.97113,0.91757,1.07541,0.00111388,0.00111388,0.00111388
13,339.623,0.93006,0.66745,1.13952,0.66421,0.63858,0.67908,0.44411,0.9405,0.84801,1.03057,0.0011015,0.0011015,0.0011015
14,363.636,0.91069,0.65621,1.13354,0.70861,0.65736,0.69934,0.44957,0.98592,0.86431,1.07045,0.00108913,0.00108913,0.00108913
15,387.9,0.91124,0.65118,1.13575,0.70642,0.64583,0.68732,0.45101,0.94916,0.84212,1.02891,0.00107675,0.00107675,0.00107675
16,412.072,0.91217,0.6409,1.13405,0.60796,0.69479,0.66984,0.43414,0.95822,0.89734,1.03643,0.00106437,0.00106437,0.00106437
17,435.664,0.89986,0.63552,1.12595,0.66716,0.63748,0.67095,0.42857,0.98327,0.87056,1.06945,0.001052,0.001052,0.001052
18,459.119,0.90394,0.62747,1.12717,0.69399,0.63804,0.68007,0.44777,0.94934,0.8285,1.03534,0.00103962,0.00103962,0.00103962
19,482.506,0.87967,0.61071,1.11717,0.67983,0.62528,0.66233,0.42712,0.97088,0.90413,1.05153,0.00102725,0.00102725,0.00102725
20,505.974,0.88994,0.60853,1.12052,0.72186,0.65601,0.71098,0.46816,0.92335,0.769,1.00383,0.00101488,0.00101488,0.00101488
21,530.102,0.87888,0.59882,1.11495,0.69821,0.61851,0.68645,0.43402,1.00726,0.83353,1.09054,0.0010025,0.0010025,0.0010025
22,554.238,0.87736,0.60113,1.11355,0.66469,0.62262,0.64009,0.40085,1.05163,0.91869,1.13338,0.000990125,0.000990125,0.000990125
23,577.839,0.87815,0.60141,1.11249,0.69687,0.64035,0.68166,0.4346,0.98417,0.86032,1.04034,0.00097775,0.00097775,0.00097775
